	,描述,图片数
14	作为南京职工文化的重要阵地，工人文化宫承载了几代南京人的美好记忆。近年来持续提档升级，打造新时代"工人的学校和乐园"，成为展示南京职工文化建设成果的重要窗口。",1
15	,,
16	南京人民大会堂,"南京人民大会堂位于南京市玄武区长江路264号，原名国民大会堂，1936年5月5日建成，由建筑师奚福泉设计。建筑面积约6600平方米，全部为钢筋混凝土结构，地上4层，地下1层，设2478张沙发软座，为当时全国规模最大、设施最先进的会堂。
17	建筑采用中西合璧风格，建筑立面采用勒脚、墙身、檐部三段划分法，檐口、门厅、窗花等作了简化的中国传统图案处理，是民国"民族形式"建筑的典范之作。1948年蒋介石在此召开"行宪国大"当选总统。1949年5月1日解放军与中共地下党组织在此举行会师大会，更名为"人民大会堂"。2006年被列为全国重点文物保护单位。现为江苏省、南京市政治文化活动中心，常年承办省市"两会"及各类文艺演出近200场。",1
18	江苏省美术馆老馆,"江苏省美术馆老馆（国立美术陈列馆旧址）位于南京市玄武区长江路266号，1936年落成，是中国第一个国家美术馆，由建筑师奚福泉设计，现为全国重点文物保护单位。
19	建筑坐北朝南，立面呈"山"字形，融民族风格与西方近代建筑特色于一体，是民国新民族形式建筑的代表之一。主楼四层，外形简洁庄重、典雅大方，内设标志性的四根黑色大圆柱。与一墙之隔的南京人民大会堂（原国民大会堂）浑然一体，均出自奚福泉之手。与江苏省美术馆新馆（长江路333号）共同构成"一馆两址"格局。",1
20	南京市政府,"南京市人民政府位于南京市玄武区北京东路41号，其所在建筑为原国民政府考试院旧址，具有深厚的历史底蕴。建筑群始建于1930年代，呈中式宫殿风格，红墙黄瓦，与周边的玄武湖、鸡鸣寺、紫金山等景观相呼应。
21	作为南京市的行政中心，该建筑群见证了南京从民国首都到新中国省会城市的历史变迁，是南京城市管理和公共服务的中枢所在。周边集中了市政协、市人大等机构，形成了南京的政治中心区域。该建筑群为全国重点文物保护单位，体现了南京作为历史文化名城的深厚积淀。",1
22	鼓楼市民广场,"鼓楼市民广场位于南京市鼓楼区鼓楼广场南侧，紧邻紫峰大厦和鼓楼公园，面积约2万平方米，是南京市中心重要的城市公共开放空间。2016年完成升级改造后，以现代化景观设计和便民服务设施成为市民休闲娱乐的重要场所。
23	广场设计融入了南京历史文化元素，设有大型花坛、喷泉、艺术雕塑及健身步道等设施。广场与鼓楼广场中心环岛的"欢乐祥和"孔雀绿雕形成呼应，与周边的紫峰大厦、邮政大厦、荔枝广场等现代建筑群和明代鼓楼历史古迹交相辉映，是南京市民日常休闲和游客打卡的热门地点。",1
24	,,
25	南京站,"南京站位于南京市玄武区龙蟠路，前临玄武湖、后枕小红山、旁依紫金山，是中国唯一临湖依山的火车站，被誉为"中国最美火车站"。1968年迁至现址，2005年完成大规模改扩建。
26	站房经改造后如一艘竖立桅杆的巨型帆船停泊在玄武湖畔，采用大面积玻璃格局，视野开阔。站名由著名书法家武中奇题写。采用先进的"高进低出"设计，可容纳1万名旅客候车。站前玄武湖景观和紫金山天际线成为旅客对南京"第一印象"的经典画面，既是一座交通枢纽，也成为南京的城市名片。",1
27	南京南站,"南京南站位于南京市雨花台区，是京沪高铁五大枢纽站之一，被称为"亚洲第一大火车站"。2008年1月开工，2011年6月28日投用，总投资超300亿元人民币，总建筑面积73万平方米（主站房约45.8万平方米）。
28	车站秉承"古都新站"理念，外观采用"香槟金"色调，仿明朝宫殿式建筑风格，大量融入藻井、斗拱、窗花、木纹肌理等中国古典建筑元素。站台规模为28条铁轨、28座站台。采用"桥建合一"结构体系，铁轨全部建在12.4米高架桥上，为"悬空车场"，是中国第一个通过垂直换乘实现真正零换乘的交通枢纽，站内配置200多部电梯。京沪高铁、沪汉蓉城际、宁安城际、宁杭城际等6条高铁在此交汇，地铁1号线、3号线、S1机场线、S3号线在此换乘。",1
29	浦口火车站,"南京浦口火车站历史风貌区位于南京市江北新区长江北岸，是国内唯一完整保存民国初期英式风格的百年铁路遗址，包含全国重点文物保护单位浦口火车站旧址及附属建筑群。
30	该站始建于1908年，1914年竣工运营，因朱自清《背影》描述的场景及孙中山灵柩经此过江等历史事件闻名。现存站房主体、月台、雨廊及浦口电厂旧址等文物建筑。为高铁南京北站"让名"，该站于2026年4月15日正式恢复旧称浦口站。站区设有"浦口火车站旧址"石碑。免费开放。",1
31	中山码头,"中山码头位于南京市鼓楼区中山北路643号长江南岸，始建时间可追溯至东晋时期军用码头白石步。南宋时期为"长江六渡"之一的龙湾渡。1928年为迎接孙中山灵柩回南京安葬而建，1929年5月28日孙中山灵柩经此登陆，码头正式得名"中山码头"。
32	建筑主体呈"山"字型，两侧二层、中间三层，整体为民国风格，砖红色外立面配白色线条。现运营"宁浦线"（中山码头→浦口码头），航线长约2.8公里，航程约15分钟，单程票价2元。1949年4月23日解放军渡江部队在此登陆解放南京。朱自清《背影》中提到的下关码头即为此地。为鼓楼区区级文物保护单位。",1
33	南京禄口国际机场,"南京禄口国际机场位于南京市江宁区禄口街道，距市中心约35.8公里，1997年7月1日正式通航，飞行区等级为4F（最高等级），是国家一类航空口岸、长三角世界级机场群核心区域枢纽。
34	机场拥有两条平行跑道（均为3600米×60米），可起降空客A380等大型客机。T1航站楼面积约21万平方米，T2航站楼面积约26万平方米，共约141个停机位。通航国内外143个城市。2025年旅客吞吐量达3138万人次。地铁S1号线（机场线）直达，30分钟可达南京南站。机场内设铂尔曼酒店、购物餐饮设施及综合交通中心。",1
35	南京长江大桥,"南京长江大桥位于南京市鼓楼区下关与浦口区之间的长江上，是长江上第一座由中国自行设计和建造的双层式铁路、公路两用桥梁，素有"争气桥"之称。1960年动工，1968年12月公路桥通车。公路桥全长4589米，铁路桥全长6772米。
36	桥头堡高70米，顶端为钢制"三面红旗"。公路正桥护栏嵌有202幅铸铁浮雕，配有150对白玉兰花形路灯。1960年以"世界最长的公铁两用桥"载入《吉尼斯世界纪录大全》，1985年获国家科技进步奖特等奖，2016年入选首批中国20世纪建筑遗产名录。周恩来总理曾自豪地告诉国际友人："新中国有两个奇迹，其中之一就是南京长江大桥。"",1
37	南京眼步行桥,"南京眼步行桥位于南京市建邺区河西新城青奥轴线中轴，是长江上首座观光步行桥。2013年1月开工，2014年8月投用。总长827.5米，主跨240米。桥塔为两个倾斜椭圆形圆环，向岸侧倾斜35度，形如两只眼睛望向天空，"南京眼"由此得名。
38	2015年荣获第32届阿瑟·海顿奖，是中国桥梁首次获得该项国际大奖。全桥共36根斜拉索，最多可容纳约4万人，免费全天开放。连接江心洲与河西新城，已成为南京新地标和滨江风光带的重要景点。",1
