"	",描述,图片数
"13	江苏大剧院","江苏大剧院位于南京市建邺区梦都大街181号，东接奥体中心，西临长江。2012年奠基，2017年8月5日正式开业，是中国最大的现代化大剧院、亚洲最大的剧院综合体。占地面积约19.66万平方米，建筑面积27.14万平方米。2018-2019年度获鲁班奖。
14	造型以荷叶水滴""为主题，四颗""水滴""建筑栖息在""荷叶""高架平台上，表达""水韵江苏""理念。设有六大功能厅：歌剧厅（2037座，自然扩声设计）、音乐厅（1476座，奥地利Rieger管风琴）、戏剧厅（1014座，直径18米鼓筒式转台）、综艺厅（2540座）、国际报告厅（746座）、多功能厅（325座）。内部装饰有总长40.47米的红木雕版《姑苏繁华图》等艺术珍品。""",1
"15	金陵饭店",金陵饭店位于南京市鼓楼区汉中路2号（新街口西北角），1983年10月4日开业。一期37层高110米，建成时为中国第一高楼"，由香港巴马丹拿集团设计，是新加坡华商陶欣伯推动并经邓小平亲自批准建设的中国首批6家旅游饭店之一。,
"16	金陵饭店创造了多项""中华第一""：中国第一高楼、第一家由中国人自己管理的大型现代化酒店、第一个高层旋转餐厅——璇宫（36层，1小时转一圈）、第一部高速电梯（29秒直达）、第一个高楼直升机停机坪。开业时被国际媒体视为""中国改革开放的窗口""。2013年三期亚太商务楼建成（53层242米），客房总数达千间。2014年被认定为南京不可移动文物，2017年成为南京首幢税收贡献超10亿元的商务楼宇。""",1,
"17	四方当代美术馆建筑群",南京四方当代美术馆建筑群位于南京市浦口区珍七路9号佛手湖畔，属于中国国际建筑艺术实践展"项目，历时十余年建成。建筑群汇集超过24座国际建筑大师的杰作，是全球独一无二的艺术与建筑融合的人文景观。,
"18	参与建筑师包括美国斯蒂文·霍尔（美术馆主体设计者）、日本矶崎新（会议中心）、妹岛和世（流动空间）、英国戴维·艾德加耶（光盒子）、中国王澍（三合宅，2012年普利兹克奖得主）、张永和（吊脚楼）、艾未未（六间）等。美术馆以平行透视法设计，悬浮的轻质量体与竹子制成的黑色混凝土花园墙形成视觉对比，被誉为""最美的山中美术馆""。""",2,
"19	南京国际青年文化中心","南京国际青年文化中心即青奥中心双子塔，位于南京市建邺区邺城路8号，由扎哈·哈迪德设计，2018年竣工。总建筑面积约49万平方米，由两座塔楼和裙楼组成，是2014年南京青奥会的重要配套设施。
20	建筑以立体流线型外观著称，造型如一艘现代化帆船，设计灵感源于南京云锦，流畅的线条将文化中心、CBD、滨江公园及江心洲串联起来。北塔314.5米为卓美亚酒店及写字楼，南塔249.5米为国际青年会议酒店。裙楼设有保利大剧院、金色音乐厅、大型宴会厅等。该建筑是河西新城的地标性建筑，与南京眼步行桥共同构成滨江天际线。",1
"21	鼓楼广场","南京鼓楼广场位于南京市鼓楼区与玄武区交汇处，因西侧明代南京鼓楼而得名，是南京市中心重要的交通枢纽和城市地标。民国28年（1939年）始建，总面积约3.87万平方米，为五条主干道（中山路、中山北路、中央路、北京东路、北京西路）的交汇点，是南京市内最大的交通环岛广场之一。
22	中心环岛设有名为欢乐祥和""的大型孔雀绿雕，两只""孔雀""造型高达8米、长约70米，寓意""有凤来仪""，每年整体换装2次。周边汇集紫峰大厦、鼓楼公园（鼓楼始建于1382年，省级文物保护单位）、鼓楼市民广场等。地铁1号线和4号线在此设鼓楼站。""",1
