,描述,图片数
颐和路民国公馆区,"颐和路公馆区位于江苏省南京市鼓楼区，以宁海路环岛为中心，放射形宁海路、颐和路、牯岭路、莫干路、江苏路、北京西路，有200多座民国政府要员的宅第公馆，是中国拥有民国公馆最多的地区，也是南京民国建筑特色景点之一、南京重要近代建筑群，被誉为“民国建筑博物馆”。 [1]
颐和路公馆区是20世纪三十年代中华民国政府提供给政府官员居住的高级住宅区，也是民国按照《首都计划》实施最大住宅示范区，自1933年陆续建成287处独立式花园住宅，保存较为完好的民国建筑有285处院落，分布在以颐和路为中轴线的13个片区内。 [2]整体风貌、街巷空间尺度几乎保持着民国当年的格局，历史建筑以新面貌如展览馆、餐饮、咖啡店等走向市民。",1
熙南里,"熙南里历史文化休闲街区位于南京市秦淮区中山南路400号，东起中山南路，西至鼎新路，南起升州路，北至泥马巷，总占地约16.8万平方米，依托全国重点文物保护单位甘熙故居而建。
街区建筑延续清代""青砖小瓦马头墙，回廊挂落花格窗""风格，融合现代仿木纹铝合金门窗，业态涵盖老字号、非遗工坊、文创零售、特色餐饮及沉浸式演出等，现有商户130余家 [2] [7] [9]。通过打造""笪桥灯市""""南京喜事""""熙南有戏""等文化IP，联合24小时书店、网红打卡点及国潮市集等业态，形成传统与现代交融的文商旅综合体 [6] [8] [11]。街区引入主理人品牌68家，涵盖餐饮、非遗、烘焙等领域；落地江苏首家全品类闲鱼循环商店，开业首月实现全国闲鱼门店寄卖量、销售额两项第一 [13-15]。
该街区2020年入选首批江苏省夜间经济集聚区建设单位，2021年获评江苏省级夜间文化和旅游消费集聚区，2022年晋升为国家级夜间文化和旅游消费集聚区。2023年11月被江苏省商务厅确认为第二批""江苏省示范步行街""，并入选首批江苏省人文经济入库案例 [10]。2024年8月入选中国文联第三批""文艺两新""集聚区实践基地，吸引200余名新文艺人才入驻 ",1
高淳老街,"淳溪老街即高淳老街， [1]位于江苏省南京市高淳区淳溪古镇的西南部，总面积约7.6公顷， [2] [3] [4]是华东地区保存最完整的明清古街，被誉为“金陵第二夫子庙”，有“金陵第一古街”之称。 [23]
淳溪老街（高淳老街）其历史可以追溯至宋朝时建立的街市，至今已有900余年的历史。淳溪老街（高淳老街）分布有吴家祠堂、杨厅、关王庙、建于明代的襟湖桥、乾隆时期的古井等建筑。 高淳老街内成片的明清建筑群傍水而列，粉墙青瓦，并配有古朴典雅的砖木石雕和传统的书法牌匾，被中外学者和游客誉为“东方文明之缩影”“古建筑的艺术宝库”。 [2] [3] [4]
2002年10月，淳溪老街（高淳老街）被江苏省人民政府定为江苏省文物保护单位。",1
浦口火车站街区,"南京浦口火车站历史风貌区位于江苏省南京市江北新区长江北岸，是国内唯一完整保存民国初期英式风格的百年铁路遗址，包含全国重点文物保护单位浦口火车站旧址及附属建筑群，其中铁路轮渡桥、浦口电厂旧址被列为市级文保单位，另有13处不可移动文物和2处历史建筑。 [11]
该站始建于1908年，1914年竣工运营，因朱自清《背影》描述的场景及孙中山灵柩经此过江等历史事件闻名，现存站房主体、月台、雨廊及浦口电厂旧址等文物建筑。 [2] [7] [10]为高铁南京北站“让名”，该站于2026年4月15日正式恢复旧称浦口站。 [15]名称恢复后，站区设有“浦口火车站旧址”石碑。",0
下关街道,"下关街道，隶属于江苏省南京市鼓楼区，英文名Xiaguan Sub-district，别称阅江楼街道，地处区境西北部，东起大桥南路，南至中山北路，西临长江岸线，北达煤炭港，辖区面积3.74平方千米 [1] [4] [6]。下辖多伦路、盐大街等8个社区，截至2024年，常住人口6.12万人，户籍人口5.9万余人 [4-5]。
街道滨临长江，拥有南京主城3公里黄金岸线，分布阅江楼、狮子山、绣球公园、明城墙、挹江门等景观，以及静海寺、天妃宫、渡江胜利纪念碑等20处文保单位 [1] [3] [6]。下关得名于明代设立的龙江关，因位于长江下游而得名。1899年，金陵关对外开放，标志着南京正式开埠 [7]。前身为阅江楼街道，2017年更现名以传承下关历史文化记忆 [1] [3] [6]。2026年，郑和中路隧道及九家圩人行天桥均跨下关街道和热河南路街道 [10]。",1
,,
瞻园,"瞻园位于江苏省南京市秦淮区夫子庙秦淮风光带内部，是南京现存历史最久的明代古典园林、“江南四大名园”之一。其历史可追溯至明太祖朱元璋称帝前的吴王府，后赐予中山王徐达的府邸花园，素以假山著称，以欧阳修诗“瞻望玉堂，如在天上”而命名，明代被称为“南都第一园”。现为全国重点文物保护单位、国家AAAAA级旅游景区。 [1]
瞻园是南京地区保存最为完好的明代古典园林建筑群，也是唯一开放的明代王府，曾是明朝开国功臣徐达府邸的一部分，是清朝各任江南布政使办公的地点，太平天国时期为东王杨秀清王府。瞻园叠经明、清、太平天国、民国与当代，和江南多数园林一样，沿革复杂，园貌历经变迁。
瞻园面积约两万平方米，共有大小景点二十余处，布局典雅精致，有宏伟壮观的明清古建筑群，陡峭峻拔的假山，闻名遐迩的北宋太湖石，清幽素雅的楼榭亭台，奇峰叠嶂。瞻园中辟有太平天国历史博物馆，是中国唯一的太平天国专史博物馆。87年版《红楼梦》，赵雅芝版《新白娘子传奇》中的白府等便是在瞻园取景。",1
煦园(总统府内),"煦园位于江苏省南京市玄武区长江路292号总统府内，又称西花园，与东花园（复园）相对称，始建于明洪武元年（1368年），明永乐二年（1404年）因汉王朱高煦府邸花园定名。
该园历经明、清、太平天国、民国四个时期，现存建筑为晚清江南园林风貌，总面积1.4公顷，以太平湖为中心呈花瓶状布局，采用明代城砖砌筑湖岸。园内分布漪澜阁、石舫不系舟、鸳鸯亭等明清建筑，1982年被列为全国重点文物保护单位。 [2] [3-4]园内石舫“不系舟”由清两江总督尹继善建造，乾隆帝题匾命名，舫体长14.5米，船头宽4.63米，采用青石砌制；漪澜阁为歇山顶三开间建筑，辛亥革命期间曾作孙中山办公处；夕佳楼呈双层圆顶结构。碑亭内嵌陶澍“印心石屋”御赐碑刻，荷花池畔保留唐代张继《枫桥夜泊》诗碑。 [3-4]
该园现为国家AAAA级旅游景区，门票价格30元，可乘南京地铁2号线、3号线至大行宫站抵达。",1
愚园(胡家花园),"愚园位于江苏省南京市秦淮区鸣羊街胡家花园1号，是夫子庙秦淮风光带的组成部分。 [1]愚园占地面积约3.36万平方米，建筑面积约3890平方米，园林景观约2.4万平方米，愚湖面积约6000平方米。 [4] [20]愚园为晚清时期享誉两江的私家园墅之一，因园主为胡恩燮，故又名胡园，俗称胡家花园。 [38]
愚园由内园和外园两部分组成。外园以山丘、愚湖为主，内园以假山、厅堂等建筑为主。 [1]愚园分布有李鸿章、曾国荃、张之洞等文人名士雅集的铭泽堂，胡恩燮奉养母亲报答养育之恩的春晖堂等，还有以山石之玲珑精巧，垒石状若狮子而知名的内园假山等景观。 [1]整个园林最大的特色为以水石取胜，有“城中佳胜眼为疲，聊觉愚园水石奇”之说。 [39]2016年5月，愚园在保持院内原有结构布局、历史风貌、空间尺度下得以完成重建并开放。",1
白鹭洲公园,"白鹭洲公园（Bai Lu Zhou Park）位于厦门市思明区白鹭洲路，占地15.9万平方米，属全天候免费开放城市公园。该园由中央公园和西公园组成，中央公园1995年开放，核心景观白鹭女神像高13.6米，为厦门地标；西公园1997年建成，设有香港回归纪念设施。厦门城市原点经市政府确定设于园内 [5-6]。
园区以音乐喷泉广场、鸽子广场为核心，引进400只荷兰广场鸽形成特色互动景观 [2]。园内筼筜书院毗邻厦门市博物馆，西公园音乐喷泉广场嵌有城市原点雕塑《方圆同心》 [6]。依托筼筜湖景观带，融合古景“筼筜渔火”与现代城市风貌，形成“筼筜夜色”特色景观 [3]。
公园配置购物、餐饮及书画艺术中心，设有多条公交线路可达，包含厦门8路、15路、26路等十余条公交线路经过。",1
玄武湖公园(五洲),"五洲是南京玄武湖内的五块绿洲景区，由环洲、樱洲、菱洲、梁洲、翠洲组成，呈现中国古典园林""一池三山""经典布局。各洲以特色景观著称：环洲以""环洲烟柳""和童子拜观音太湖石闻名，樱洲因樱花成海得名，菱洲与钟山相映形成""菱洲山岚""，梁洲作为最早开发的洲域以一年一度的菊展著称，保留湖神庙遗址和黄册库展馆，翠洲则以""翠洲云树""展现生态景观 [2-3] [6]。
梁洲现存明后湖黄册库遗址展馆，通过图文与实景展示明代档案管理制度。洲内分布览胜楼、闻鸡亭等历史建筑，其中览胜楼为徐绍桢1909年重建，友谊厅见证毛泽东、周恩来等领导人外交活动。区域内还设有金陵盆景园展示百年盆景艺术，以及蒲仙岛水文化主题园融合传统水利智慧与现代科普功能 [3]。
五洲通过堤桥相连构成玄武湖主体景区，展现山水城林相融格局，作为江南三大名湖之一承载明代黄册库文化遗存 [3-5]。各洲保留晋元帝改称北湖、宋文帝定名玄武湖等历史印记，玄武广场四象坊与铜铸神兽体现古代星宿崇拜文化",1
,,
48	,,
49	明故宫遗址,"明故宫遗址位于江苏省南京市玄武区中山东路311-3号，是明朝初期洪武、建文、永乐三代的皇宫所在，历时54年（1368—1421年），也是北京故宫的建筑蓝本。2006年被列为第六批全国重点文物保护单位。
50	明故宫由皇城与宫城两重组成，宫城呈正方形，设午门、东华门、西华门、玄武门四门，前朝有奉天殿、华盖殿、谨身殿三大殿，后寝为乾清宫、坤宁宫。1366年朱元璋命刘基卜地选址，填燕雀湖建宫，动用军民工匠20万人。1421年朱棣迁都北京后成为陪都宫殿，此后历经雷击、战火，清初改为八旗驻防城，太平天国时期再遭重创。现存主要遗迹有午门城台、东华门、西安门、内五龙桥、外五龙桥、奉天门遗址石柱础及三大殿台基等，总面积约5万平方米，仅为原皇城面积的二十分之一。现辟为午朝门公园、明故宫遗址公园及东华门、西安门、西华门三处遗址广场，均免费向公众开放。",1
51	石头城遗址,"石头城遗址位于南京市鼓楼区清凉山一带，是六朝时期的著名遗迹，素有""东吴第一军事要塞""之称。公元前333年楚威王在此建金陵邑，是南京""金陵""之名的起源。东汉建安十六年（211年），孙权迁治秣陵，在金陵邑原址筑城，取名石头城，开启南京建都史。
52	石头城周长约3000米（""七里一百步""），依清凉山天然峭壁为城基，西北临长江，以江为池，城内设石头仓、石头库储粮草军械。明代被筑入南京明城墙体系，清凉门至草场门段有一块突出的椭圆形红色砾岩石壁，风化酷似狰狞鬼脸，与西侧池塘倒影构成""鬼脸照镜子""奇观。2017年出土模印""石头""二字的东晋城砖，确证该遗址即为六朝石头城。诸葛亮评价金陵山川形势""钟山龙蟠，石头虎踞，真乃帝王之宅也""，""石头城""由此成为南京别称。2024年六朝石头城考古遗迹展示馆正式对外开放，石头城遗址公园免费开放。",1
53	六朝建康城遗址,"六朝建康都城遗址分布于南京市玄武区、秦淮区等地，是六朝时期（东吴、东晋、宋、齐、梁、陈，约229—589年）建康城的宫城及都城遗存，为第四批南京市文物保护单位。
54	孙权定都建业（今南京），选址新街口以东大行宫一带框定都城四至。东晋南渡后确立""建中立极、中轴对称""的都城形制，始称建康城，并首创外郭城制度。梁武帝天监年间在长干里新建""国门""（2023年西街遗址发现），是建康城考古迄今发现的唯一城门。548年侯景之乱中南梁宫阙多毁，589年隋灭陈后，隋文帝下诏将建康城""平荡耕垦""，六朝旧迹几无幸存。建康城整体为宫城—都城—外郭三重城垣结构，与古罗马城并称为""世界古典文明两大中心""。主要遗址点包括西街遗址、大行宫地区宫城东墙拐点遗址（现展示于南京图书馆负一层）、六朝博物馆负一层夯土包砖城墙遗址等。出土文物以六朝特色人面纹瓦当最为著名，被誉为""1700年前的QQ表情""。",1
55	南唐二陵,"南唐二陵位于南京市江宁区祖堂山南麓，是五代十国时期南唐的帝王陵墓，也是五代十国时期规模最大的帝王陵墓。1950—1951年由南京博物院组织发掘（曾昭燏主持），是新中国成立后第一次用科学方法发掘的帝王陵墓，被誉为""江南地下宫殿""。1988年被列为第三批全国重点文物保护单位。
56	二陵依山为陵，东西相距约50—100米，由南唐大臣江文尉和韩熙载设计。钦陵（东）为烈祖李昪及其皇后宋氏合葬墓，葬于943年，3主室+10侧室，全长21.48米，石门楣浮雕""双龙戏珠""，后室顶部绘有彩色天象图，地面凿刻江河地理图，是目前国内已知最早的建筑彩画遗迹。顺陵（西）为元宗李璟及其皇后钟氏合葬墓，葬于961年，3主室+8侧室，全长21.9米，全部砖结构，较为简朴。李昪是后主李煜的祖父，李璟是李煜的父亲。出土文物约600件，最珍贵的是李昪陵出土的玉哀册23片，刻字填金，是判定墓主身份的主要依据。",1
57	明孝陵,"明孝陵位于南京市玄武区紫金山（钟山）南麓独龙阜玩珠峰下，是明朝开国皇帝朱元璋与皇后马氏的合葬陵墓，因马皇后谥号""孝慈""故名""孝陵""。始建于明洪武十四年（1381年），至永乐十一年（1413年）建成，历时30余年，占地面积约170余万平方米，纵深约2.62千米，调用军工约10万人。
58	明孝陵开创了""前方后圆""的独特陵寝格局——前方以享殿为中心、中轴对称，后方以方城明楼及宝城围合的圆形坟冢收尾，体现""天圆地方""理念。主要建筑序列为：下马坊→大金门→四方城→神道（石象路）→棂星门→金水桥→文武方门→碑殿→享殿→内红门→方城明楼→宝顶。神道陈列石兽6种共12对24件（狮子、獬豸、骆驼、大象、麒麟、马）及石人4对，被誉为""南京秋天最美600米""。梁思成评价：""明代陵寝之制，自太祖营孝陵于南京，迥异古制，遂开明清两代帝陵之型范。""1961年被列为第一批全国重点文物保护单位，2003年作为""明清皇家陵寝""扩展项目列入《世界遗产名录》，实现了南京世界遗产零的突破。",2
59	中山陵,"中山陵位于南京市玄武区紫金山（钟山）南麓，是中国近代伟大的民主革命先行者孙中山先生的陵寝及其附属纪念建筑群，总面积达8万余平方米。陵墓由青年建筑师吕彦直设计，平面呈警钟形（""自由钟""），寓有""唤起民众""之意。1926年春动工，1929年夏主体建成，1931年底全部竣工，被誉为""中国近代建筑史上第一陵""。
60	陵寝建筑严格中轴对称，从南到北依次为：博爱坊→墓道→陵门→碑亭→祭堂→墓室，平距约700米，高差70米，石阶392级分为10个平台。主体全部采用白色花岗岩和钢筋水泥构筑，屋顶覆以蓝色琉璃瓦，融汇了中国古代与西方建筑之精华——既有斗拱、檐椽、歇山式屋顶等传统元素，又采用钢筋混凝土结构和简洁几何形体组合。1961年成为首批全国重点文物保护单位，2007年被评为国家AAAAA级旅游景区，2016年入选""首批中国20世纪建筑遗产""名录。周边附属建筑有音乐台、流徽榭、行健亭、仰止亭、藏经楼等，众星捧月式分布。",2
61	灵谷寺,"灵谷寺位于南京市玄武区钟山风景名胜区内，在中山陵以东约1千米处，是古代钟山70多座南朝佛寺中唯一留存至今的寺院，也是金陵三大寺之一，距今已有1500余年历史。1983年被定为汉族地区佛教全国重点寺院。
62	灵谷寺前身为南梁天监十四年（515年）梁武帝为纪念宝志禅师兴建的开善精舍。明洪武十四年（1381年），朱元璋为建明孝陵将寺庙迁至现址，赐名""灵谷禅寺""，御题""天下第一禅林""，占地500余亩，为明代佛教三大寺院之一。清咸丰年间毁于战火，仅存无梁殿。民国十七年（1928年）国民政府在原址改建国民革命军阵亡将士公墓。寺内主要建筑有无梁殿——明代古灵谷寺唯一留存建筑，全用砖石拱券砌成，无一根梁木，是中国现存规模最大的无梁殿；灵谷塔——9层8面高60米；以及大雄宝殿、玄奘院（供奉镇寺之宝玄奘法师顶骨舍利）等。""灵谷深松""为金陵四十八景之一。灵谷寺夏季以萤火虫闻名，深秋层林尽染，风景尤佳。门票35元。",1
